DATE,IPB50001N
1995-05-01,72.6686
1995-06-01,75.2345
1995-07-01,71.9205
1995-08-01,75.6058
1995-09-01,76.2821
1995-10-01,75.3292
1995-11-01,74.7360
1995-12-01,74.5803
1996-01-01,74.0295
1996-02-01,75.8504
1996-03-01,76.2434
1996-04-01,75.2438
1996-05-01,75.8913
1996-06-01,79.0021
1996-07-01,75.5979
1996-08-01,79.1897
1996-09-01,80.2738
1996-10-01,79.3249
1996-11-01,79.2383
1996-12-01,79.0915
1997-01-01,79.1746
1997-02-01,80.8347
1997-03-01,81.6916
1997-04-01,80.7619
1997-05-01,80.8509
1997-06-01,83.3706
1997-07-01,80.0278
1997-08-01,84.5251
1997-09-01,85.9970
1997-10-01,86.0053
1997-11-01,86.3436
1997-12-01,86.1605
1998-01-01,85.7719
1998-02-01,86.9160
1998-03-01,87.7174
1998-04-01,85.5898
1998-05-01,86.8830
1998-06-01,88.2780
1998-07-01,85.0026
1998-08-01,89.7301
1998-09-01,89.4695
1998-10-01,90.1200
1998-11-01,89.2515
1998-12-01,89.1168
1999-01-01,89.1546
1999-02-01,90.1777
1999-03-01,91.5694
1999-04-01,89.5994
1999-05-01,90.5055
1999-06-01,92.9004
1999-07-01,89.1196
1999-08-01,93.4669
1999-09-01,92.9823
1999-10-01,93.9896
1999-11-01,93.3630
1999-12-01,93.4379
2000-01-01,93.2009
2000-02-01,93.9853
2000-03-01,95.6647
2000-04-01,94.3101
2000-05-01,94.6710
2000-06-01,97.7523
2000-07-01,93.1034
2000-08-01,96.7125
2000-09-01,97.1912
2000-10-01,96.3057
2000-11-01,95.1920
2000-12-01,94.7580
2001-01-01,93.5763
2001-02-01,93.6854
2001-03-01,94.6292
2001-04-01,91.4275
2001-05-01,92.2088
2001-06-01,94.4257
2001-07-01,89.9853
2001-08-01,93.5468
2001-09-01,92.7513
2001-10-01,91.6473
2001-11-01,90.0621
2001-12-01,89.6292
2002-01-01,90.0909
2002-02-01,90.7484
2002-03-01,92.2782
2002-04-01,91.3323
2002-05-01,91.8450
2002-06-01,95.6203
2002-07-01,90.9281
2002-08-01,95.1578
2002-09-01,95.0330
2002-10-01,93.8461
2002-11-01,92.8259
2002-12-01,92.0062
2003-01-01,92.7365
2003-02-01,93.7055
2003-03-01,94.4416
2003-04-01,91.7809
2003-05-01,92.3964
2003-06-01,95.2900
2003-07-01,91.1298
2003-08-01,95.5595
2003-09-01,95.7952
2003-10-01,94.8936
2003-11-01,94.4792
2003-12-01,93.9715
2004-01-01,93.8046
2004-02-01,95.5745
2004-03-01,95.9506
2004-04-01,94.1667
